item,bigger_places,places,length_diff,one_digit_diff_not_zero,transposition,inserting_zero,e3_categories,category,left_num,right_num,left_number_range,right_number_range,item_comparison_unordered,item_comparison,item_type
11 v 24,2,2v2,n,n,n,n,teens,M-SP-no-T,11,24,teen,decade,teen_decade,teen_decade,Neither
16 v 62,2,2v2,n,n,n,n,2d_no_trans,M-SP-no-T,16,62,teen,decade,teen_decade,teen_decade,Neither
2395 v 2315,4,4v4,n,y,n,n,4d_no_trans,M-SP-no-T,2395,2315,thousand,thousand,thousand_thousand,thousand_thousand,Neither
4620 v 4520,4,4v4,n,y,n,n,4d_no_trans,M-SP-no-T,4620,4520,thousand,thousand,thousand_thousand,thousand_thousand,Neither
5035 v 5605,4,4v4,n,n,n,n,4d_no_trans,M-SP-no-T,5035,5605,thousand,thousand,thousand_thousand,thousand_thousand,Neither
72 v 27,2,2v2,n,n,y,n,2d_trans,M-SP-with-T,72,27,decade,decade,decade_decade,decade_decade,Transposition
35 v 53,2,2v2,n,n,y,n,2d_trans,M-SP-with-T,35,53,decade,decade,decade_decade,decade_decade,Transposition
261 v 162,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,261,162,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
132 v 231,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,132,231,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
273 v 237,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,273,237,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
285 v 258,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,285,258,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
206 v 260,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,206,260,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
492 v 294,3,3v3,n,n,y,n,3d_no_trans,M-SP-with-T,492,294,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
350 v 305,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,350,305,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
123 v 321,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,123,321,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
534 v 345,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,534,345,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
613 v 361,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,613,361,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
241 v 421,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,241,421,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
364 v 436,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,364,436,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
256 v 526,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,256,526,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
765 v 567,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,765,567,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
751 v 571,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,751,571,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
475 v 574,3,3v3,n,n,y,n,3d_no_trans,M-SP-with-T,475,574,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
690 v 609,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,690,609,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
681 v 618,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,681,618,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
794 v 749,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,794,749,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
735 v 753,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,735,753,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
587 v 857,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,587,857,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
683 v 863,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,683,863,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
984 v 894,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,984,894,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
459 v 945,3,3v3,n,n,y,n,3d_no_trans,M-SP-with-T,459,945,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
589 v 958,3,3v3,n,n,y,n,3d_trans,M-SP-with-T,589,958,hundred,hundred,hundred_hundred,hundred_hundred,Transposition
899 v 988,3,3v3,n,n,n,n,3d_no_trans,M-SP-no-T,899,988,hundred,hundred,hundred_hundred,hundred_hundred,Neither
14 v 41,2,2v2,n,n,y,n,2d_trans,M-SP-with-T,14,41,teen,decade,teen_decade,teen_decade,Transposition
18 v 81,2,2v2,n,n,y,n,2d_trans,M-SP-with-T,18,81,teen,decade,teen_decade,teen_decade,Transposition
4208 v 4820,4,4v4,n,n,y,n,4d_trans,M-SP-with-T,4208,4820,thousand,thousand,thousand_thousand,thousand_thousand,Transposition
6040 v 6400,4,4v4,n,n,y,n,4d_trans,M-SP-with-T,6040,6400,thousand,thousand,thousand_thousand,thousand_thousand,Transposition
7300 v 7003,4,4v4,n,n,y,n,4d_trans,M-SP-with-T,7300,7003,thousand,thousand,thousand_thousand,thousand_thousand,Transposition
3 v 7,1,1v1,n,y,n,n,single,S,3,7,single,single,single_single,single_single,Neither
2 v 8,1,1v1,n,y,n,n,single,S,2,8,single,single,single_single,single_single,Neither
6 v 8,1,1v1,n,y,n,n,single,S,6,8,single,single,single_single,single_single,Neither
