"excel_file_name","id","sex","dob","doe","age_months","age_years","age_years_group","location","percentage_correct","ses","within_id","twins","item","acc","subj_acc","quartile","bigger_places","places","length_diff","one_digit_diff_not_zero","transposition","inserting_zero","e3_categories","category","left_num","right_num","left_number_range","right_number_range","item_comparison_unordered","item_comparison","item_type","task"
"Digit Training/sheet: data",20,"M","9/30/04","3/11/10",65.39473684,5.449561404,5,"Lab",75,NA,"9/30/04 3/11/10 M Lab","n","3 v 7",1,0.75,3,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",21,"M","7/28/05","6/24/09",46.94,3.911732456,3,"Lab",93.75,NA,"7/28/05 6/24/09 M Lab","n","3 v 7",1,0.9375,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",24,NA,"11/9/08","5/21/13",54.40789474,4.533991228,4,"KA",43.8,1,"11/9/08 5/21/13 NA KA","n","3 v 7",0,0.4375,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",26,"F","12/15/04","8/18/09",56.15131579,4.679276316,4,"Lab",75,NA,"12/15/04 8/18/09 F Lab","n","3 v 7",1,0.75,3,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",27,"F","2/7/06","3/15/10",49.24342105,4.103618421,4,"Lab",70,NA,"2/7/06 3/15/10 F Lab","n","3 v 7",1,0.7,3,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",28,"F","3/29/05","6/22/09",50.86,4.237938596,4,"Lab",62.5,NA,"3/29/05 6/22/09 F Lab","n","3 v 7",1,0.625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",31,NA,"2/19/09","5/21/13",51.05263158,4.254385965,4,"KA",50,1,"2/19/09 5/21/13 NA KA","n","3 v 7",0,0.5,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",33,"M","8/20/03","8/18/09",72.03947368,6.003289474,6,"Lab",93.75,NA,"8/20/03 8/18/09 M Lab","n","3 v 7",1,0.9375,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",34,"M","7/4/04","3/15/10",68.42105263,5.701754386,5,"Lab",60,NA,"7/4/04 3/15/10 M Lab","n","3 v 7",1,0.6,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",35,"F","8/8/05","6/22/09",46.51,3.876096491,3,"Lab",56.25,NA,"8/8/05 6/22/09 F Lab","n","3 v 7",1,0.5625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",38,NA,"12/20/08","5/21/13",53.05921053,4.421600877,4,"KA",50,1,"12/20/08 5/21/13 NA KA","n","3 v 7",1,0.5,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",40,"M","7/19/03","8/19/09",73.125,6.09375,6,"Lab",93.75,NA,"7/19/03 8/19/09 M Lab","n","3 v 7",1,0.9375,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",41,"F","12/28/05","3/11/10",50.46052632,4.20504386,4,"Lab",65,NA,"12/28/05 3/11/10 F Lab","n","3 v 7",1,0.65,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",42,"M","1/30/06","6/25/09",40.86,3.404605263,3,"Lab",81.25,NA,"1/30/06 6/25/09 M Lab","n","3 v 7",1,0.8125,3,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",45,NA,"11/28/08","5/21/13",53.78289474,4.481907895,4,"KA",56.3,1,"11/28/08 5/21/13 NA KA","n","3 v 7",0,0.5625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",47,"M","2/7/04","9/9/09",67.13815789,5.594846491,5,"Lab",56.25,NA,"2/7/04 9/9/09 M Lab","n","3 v 7",1,0.5625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",48,"M","12/31/03","3/10/10",74.375,6.197916667,6,"Lab",85,NA,"12/31/03 3/10/10 M Lab","n","3 v 7",1,0.85,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",49,"M","6/22/03","6/25/09",72.2,6.016995614,6,"Lab",87.5,NA,"6/22/03 6/25/09 M Lab","n","3 v 7",1,0.875,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",54,"F","2/27/05","9/9/09",54.44078947,4.536732456,4,"Lab",81.25,NA,"2/27/05 9/9/09 F Lab","n","3 v 7",1,0.8125,3,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",55,"F","2/7/05","3/9/10",61.05263158,5.087719298,5,"Lab",80,NA,"2/7/05 3/9/10 F Lab","n","3 v 7",1,0.8,3,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",56,"F","5/6/04","6/25/09",61.71,5.14254386,5,"Lab",62.5,NA,"5/6/04 6/25/09 F Lab","n","3 v 7",1,0.625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",61,"F","11/29/03","8/26/09",68.98026316,5.748355263,5,"Lab",75,NA,"11/29/03 8/26/09 F Lab","n","3 v 7",0,0.75,3,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",62,"M","3/5/05","3/8/10",60.16447368,5.01370614,5,"Lab",25,NA,"3/5/05 3/8/10 M Lab","n","3 v 7",0,0.5,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",63,"M","1/31/06","6/25/09",40.82,3.401864035,3,"Lab",62.5,NA,"1/31/06 6/25/09 M Lab","n","3 v 7",1,0.625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",67,NA,"5/28/09","5/21/13",47.82894737,3.985745614,3,"KA",50,1,"5/28/09 5/21/13 NA KA","n","3 v 7",0,0.5,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",68,"F","4/26/04","8/26/09",64.07894737,5.339912281,5,"Lab",62.5,NA,"4/26/04 8/26/09 F Lab","n","3 v 7",1,0.625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",69,"M","12/1/04","3/3/10",63.09210526,5.257675439,5,"Lab",60,NA,"12/1/04 3/3/10 M Lab","n","3 v 7",1,0.6,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",70,"F","3/23/05","6/29/09",51.28,4.273574561,4,"Lab",56.25,NA,"3/23/05 6/29/09 F Lab","n","3 v 7",1,0.5625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",74,NA,"5/6/10","5/21/13",36.54605263,3.045504386,3,"KA",56.3,1,"5/6/10 5/21/13 NA KA","n","3 v 7",1,0.5625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",75,"M","4/24/04","9/10/09",64.63815789,5.386513158,5,"Lab",93.75,NA,"4/24/04 9/10/09 M Lab","n","3 v 7",1,0.9375,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",76,"M","12/6/05","3/3/10",50.92105263,4.243421053,4,"Lab",30,NA,"12/6/05 3/3/10 M Lab","n","3 v 7",0,0.6,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",77,"M","12/27/02","6/29/09",78.16,6.513157895,6,"Lab",93.75,NA,"12/27/02 6/29/09 M Lab","n","3 v 7",1,0.9375,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",81,NA,"11/8/09","5/21/13",42.43421053,3.536184211,3,"KA",50,1,"11/8/09 5/21/13 NA KA","n","3 v 7",0,0.5,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",82,"M","2/8/04","9/11/09",67.17105263,5.597587719,5,"Lab",50,NA,"2/8/04 9/11/09 M Lab","n","3 v 7",1,0.5,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",83,"F","2/14/05","3/20/10",61.18421053,5.098684211,5,"Lab",30,NA,"2/14/05 3/20/10 F Lab","n","3 v 7",1,0.6,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",84,"M","6/22/04","6/29/09",60.3,5.024671053,5,"Lab",56.25,NA,"6/22/04 6/29/09 M Lab","n","3 v 7",1,0.5625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",88,NA,"9/20/09","5/22/13",44.07894737,3.673245614,3,"KA",31.3,1,"9/20/09 5/22/13 NA KA","n","3 v 7",0,0.3125,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",89,"M","4/28/04","9/24/09",64.96710526,5.413925439,5,"Lab",50,NA,"4/28/04 9/24/09 M Lab","n","3 v 7",1,0.5,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",90,"M","2/11/05","3/19/10",61.25,5.104166667,5,"Lab",25,NA,"2/11/05 3/19/10 M Lab","n","3 v 7",1,0.5,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",91,"M","3/7/06","7/1/09",39.87,3.322368421,3,"Lab",50,NA,"3/7/06 7/1/09 M Lab","n","3 v 7",0,0.5,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",95,NA,"10/4/07","5/22/13",67.66447368,5.63870614,5,"KA",93.8,1,"10/4/07 5/22/13 NA KA","n","3 v 7",1,0.9375,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",96,"F","8/16/04","10/7/09",61.77631579,5.148026316,5,"Lab",56.25,NA,"8/16/04 10/7/09 F Lab","n","3 v 7",0,0.5625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",97,"M","8/4/05","3/19/10",55.52631579,4.627192982,4,"Lab",15,NA,"8/4/05 3/19/10 M Lab","n","3 v 7",0,0.3,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",98,"M","1/13/04","7/1/09",65.66,5.471491228,5,"Lab",43.75,NA,"1/13/04 7/1/09 M Lab","n","3 v 7",1,0.4375,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",100,NA,"7/2/08","5/22/13",58.71710526,4.893092105,4,"KA",81.2,1,"7/2/08 5/22/13 NA KA","n","3 v 7",1,0.8125,3,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",103,"F","1/12/04","10/5/09",68.84868421,5.737390351,5,"Lab",87.5,NA,"1/12/04 10/5/09 F Lab","n","3 v 7",1,0.875,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",104,"M","7/1/04","3/23/10",68.78289474,5.731907895,5,"Lab",70,NA,"7/1/04 3/23/10 M Lab","n","3 v 7",1,0.7,3,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",105,"F","7/29/05","6/30/09",47.11,3.925438596,3,"Lab",75,NA,"7/29/05 6/30/09 F Lab","n","3 v 7",1,0.75,3,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",107,NA,"5/17/09","5/22/13",48.22368421,4.018640351,4,"KA",62.5,1,"5/17/09 5/22/13 NA KA","n","3 v 7",1,0.625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",110,"M","6/19/04","10/14/09",63.91447368,5.32620614,5,"Lab",68.75,NA,"6/19/04 10/14/09 M Lab","n","3 v 7",1,0.6875,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",111,"M","1/6/05","4/6/10",63.02631579,5.252192982,5,"Lab",85,NA,"1/6/05 4/6/10 M Lab","n","3 v 7",1,0.85,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",112,"F","7/28/03","6/30/09",71.18,5.932017544,5,"Lab",75,NA,"7/28/03 6/30/09 F Lab","n","3 v 7",1,0.75,3,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",114,NA,"9/19/10","5/22/13",32.10526316,2.675438596,2,"KA",43.8,1,"9/19/10 5/22/13 NA KA","n","3 v 7",0,0.4375,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",117,"M","2/20/03","10/22/09",80.13157895,6.677631579,6,"Lab",93.75,NA,"2/20/03 10/22/09 M Lab","n","3 v 7",1,0.9375,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",118,"F","7/12/03","3/31/10",80.72368421,6.726973684,6,"Lab",100,NA,"7/12/03 3/31/10 F Lab","n","3 v 7",1,1,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",119,"F","4/15/05","7/1/09",50.59,4.216008772,4,"Lab",62.5,NA,"4/15/05 7/1/09 F Lab","n","3 v 7",1,0.625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",123,"F","3/25/03","10/28/09",79.24342105,6.603618421,6,"Lab",75,NA,"3/25/03 10/28/09 F Lab","n","3 v 7",1,0.75,3,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",124,"F","9/13/04","4/5/10",66.77631579,5.564692982,5,"Lab",30,NA,"9/13/04 4/5/10 F Lab","n","3 v 7",1,0.6,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",125,"F","7/28/03","30-Jun",71.18,5.932017544,5,"Lab",81.25,NA,"7/28/03 30-Jun F Lab","n","3 v 7",1,0.8125,3,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",126,NA,"2/16/08","5/23/13",63.25657895,5.271381579,5,"PLW",50,1,"2/16/08 5/23/13 NA PLW","n","3 v 7",1,0.5,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",130,"M","2/3/03","10/29/09",80.92105263,6.743421053,6,"Lab",93.75,NA,"2/3/03 10/29/09 M Lab","n","3 v 7",1,0.9375,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",131,"F","5/11/05","4/10/10",59.04605263,4.920504386,4,"Lab",20,NA,"5/11/05 4/10/10 F Lab","n","3 v 7",0,0.4,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",132,"F","3/28/05","6/30/09",51.15,4.262609649,4,"Lab",62.5,NA,"3/28/05 6/30/09 F Lab","n","3 v 7",1,0.625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",133,NA,"8/22/10","5/23/13",33.05921053,2.754934211,2,"PLW",56.3,1,"8/22/10 5/23/13 NA PLW","n","3 v 7",1,0.5625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",137,"F","8/19/03","10/29/09",74.44078947,6.203399123,6,"Lab",93.75,NA,"8/19/03 10/29/09 F Lab","n","3 v 7",1,0.9375,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",139,"M","3/17/04","6/30/09",63.52,5.293311404,5,"Lab",56.25,NA,"3/17/04 6/30/09 M Lab","n","3 v 7",1,0.5625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",140,NA,"7/21/10","5/23/13",34.11184211,2.842653509,2,"PLW",25,1,"7/21/10 5/23/13 NA PLW","n","3 v 7",0,0.25,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",144,"F","2/10/03","11/5/09",80.92105263,6.743421053,6,"Lab",100,NA,"2/10/03 11/5/09 F Lab","n","3 v 7",1,1,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",146,"M","5/4/06","7/7/09",38.16,3.179824561,3,"Lab",56.25,NA,"5/4/06 7/7/09 M Lab","n","3 v 7",1,0.5625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",151,"F","1/18/03","11/9/09",81.80921053,6.817434211,6,"Lab",93.75,NA,"1/18/03 11/9/09 F Lab","n","3 v 7",1,0.9375,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",153,"M","7/27/04","7/7/09",59.41,4.950657895,4,"Lab",50,NA,"7/27/04 7/7/09 M Lab","n","3 v 7",0,0.5,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",158,"M","4/24/03","11/10/09",78.68421053,6.557017544,6,"Lab",93.75,NA,"4/24/03 11/10/09 M Lab","n","3 v 7",1,0.9375,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",159,"F","5/27/05","4/15/10",58.68421053,4.890350877,4,"Lab",30,NA,"5/27/05 4/15/10 F Lab","n","3 v 7",0,0.6,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",160,"F","3/12/04","7/9/09",63.98,5.331688596,5,"Lab",87.5,NA,"3/12/04 7/9/09 F Lab","n","3 v 7",1,0.875,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",161,NA,"3/3/10","5/27/13",38.84868421,3.237390351,3,"PLW",50,1,"3/3/10 5/27/13 NA PLW","n","3 v 7",0,0.5,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",162,NA,"5/31/08","5/23/13",59.80263158,4.983552632,4,"PLW",81.3,1,"5/31/08 5/23/13 NA PLW","n","3 v 7",1,0.8125,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",166,"F","1/21/03","11/16/09",81.94078947,6.828399123,6,"Lab",93.75,NA,"1/21/03 11/16/09 F Lab","n","3 v 7",1,0.9375,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",168,"F","12/1/05","7/8/09",43.26,3.604714912,3,"Lab",56.25,NA,"12/1/05 7/8/09 F Lab","n","3 v 7",1,0.5625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",169,NA,"7/8/10","5/27/13",34.67105263,2.889254386,2,"PLW",56.3,1,"7/8/10 5/27/13 NA PLW","n","3 v 7",1,0.5625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",171,"M","3/16/05","11/17/09",56.15131579,4.679276316,4,"Lab",68.75,NA,"3/16/05 11/17/09 M Lab","n","3 v 7",1,0.6875,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",172,"M","10/19/05","4/14/10",53.88157895,4.490131579,4,"Lab",70,NA,"10/19/05 4/14/10 M Lab","n","3 v 7",1,0.7,3,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",173,"M","6/2/05","7/9/09",49.28,4.106359649,4,"Lab",56.25,NA,"6/2/05 7/9/09 M Lab","n","3 v 7",1,0.5625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",174,NA,"5/26/10","5/27/13",36.08552632,3.007127193,3,"PLW",43.8,1,"5/26/10 5/27/13 NA PLW","n","3 v 7",1,0.4375,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",178,"M","1/17/03","11/17/09",82.10526316,6.842105263,6,"Lab",43.75,NA,"1/17/03 11/17/09 M Lab","n","3 v 7",0,0.4375,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",179,"F","4/13/06","4/28/10",48.55263158,4.046052632,4,"Lab",30,NA,"4/13/06 4/28/10 F Lab","n","3 v 7",0,0.6,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",180,"F","2/26/06","7/9/09",40.43,3.368969298,3,"Lab",37.5,NA,"2/26/06 7/9/09 F Lab","n","3 v 7",0,0.375,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",181,NA,"12/30/08","5/27/13",52.92763158,4.410635965,4,"PLE",50,2,"12/30/08 5/27/13 NA PLE","n","3 v 7",1,0.5,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",185,"M","4/9/04","12/2/09",67.86184211,5.655153509,5,"Lab",100,NA,"4/9/04 12/2/09 M Lab","n","3 v 7",1,1,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",186,"F","5/7/04","4/16/10",71.38157895,5.948464912,5,"Lab",85,NA,"5/7/04 4/16/10 F Lab","n","3 v 7",1,0.85,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",187,"M","10/20/04","7/10/09",56.71,4.725877193,4,"Lab",62.5,NA,"10/20/04 7/10/09 M Lab","n","3 v 7",1,0.625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
